gold_id,cohort,deepseek,rule,n_votes,consensus,others_consensus
1,2020,scam,scam,7,scam,scam
2,2020,political,scam,7,political,political
3,2020,other,scam,7,health,health
4,2020,political,scam,7,political,political
5,2020,political,scam,7,health,health
6,2020,political,political,7,political,political
7,2020,political,political,7,political,political
8,2020,political,political,7,political,political
9,2020,political,political,7,political,political
10,2020,political,political,7,health,health
11,2020,health,health,7,health,health
12,2020,health,health,7,health,health
13,2020,political,health,7,political,political
14,2020,health,health,7,health,health
15,2020,health,health,7,health,health
16,2020,health,health,7,health,health
17,2020,health,health,7,health,health
18,2020,health,health,7,health,health
19,2020,health,health,7,health,health
20,2020,health,health,7,health,health
21,2020,health,health,7,health,health
22,2020,political,other,7,other,other
23,2020,other,other,7,other,other
24,2020,health,other,7,health,health
25,2020,other,other,7,other,other
26,2020,other,other,7,other,other
27,2020,other,other,7,other,other
28,2020,other,other,7,other,other
29,2020,health,other,7,health,health
30,2020,other,other,7,other,other
31,2020,other,other,7,other,other
32,2020,political,other,7,other,other
33,2020,political,other,7,political,political
34,2020,other,other,7,other,other
35,2020,other,other,7,other,other
36,2020,scam,other,7,other,other
37,2020,other,other,7,other,other
38,2020,other,other,7,other,other
39,2020,other,other,7,other,other
40,2020,other,other,7,other,other
41,2024,scam,scam,7,scam,scam
42,2024,scam,scam,7,scam,scam
43,2024,scam,scam,7,scam,scam
44,2024,scam,scam,7,scam,scam
45,2024,scam,scam,7,scam,scam
46,2024,scam,scam,7,scam,scam
47,2024,scam,scam,7,scam,scam
48,2024,scam,scam,7,scam,scam
49,2024,scam,scam,7,scam,scam
50,2024,scam,scam,7,scam,scam
51,2024,scam,scam,7,scam,scam
52,2024,political,political,7,political,political
53,2024,political,political,7,political,political
54,2024,political,political,7,political,political
55,2024,political,political,7,political,political
56,2024,political,political,7,political,political
57,2024,scam,health,7,health,health
58,2024,political,health,7,health,health
59,2024,health,health,7,health,health
60,2024,health,health,7,health,health
61,2024,health,health,7,health,health
62,2024,scam,other,7,scam,scam
63,2024,scam,other,7,scam,scam
64,2024,scam,other,7,scam,scam
65,2024,other,other,7,other,other
66,2024,scam,other,7,scam,scam
67,2024,scam,other,7,scam,scam
68,2024,political,other,7,political,political
69,2024,other,other,7,other,other
70,2024,scam,other,7,scam,scam
71,2024,health,other,7,health,health
72,2024,other,other,7,other,
73,2024,scam,other,7,scam,scam
74,2024,scam,other,7,scam,scam
75,2024,other,other,7,other,other
76,2024,scam,other,7,scam,scam
77,2024,other,other,7,other,other
78,2024,other,other,7,other,other
79,2024,health,other,7,health,health
80,2024,other,other,7,other,other
81,recent,political,scam,7,political,political
82,recent,scam,scam,7,scam,
83,recent,scam,scam,7,scam,scam
84,recent,scam,scam,7,scam,scam
85,recent,health,scam,7,scam,scam
86,recent,other,scam,7,other,other
87,recent,other,scam,7,scam,scam
88,recent,scam,scam,7,scam,scam
89,recent,scam,scam,7,scam,scam
90,recent,other,political,7,other,other
91,recent,political,political,7,political,political
92,recent,political,political,7,other,other
93,recent,other,political,7,other,other
94,recent,political,political,7,political,political
95,recent,other,health,7,scam,scam
96,recent,health,health,7,health,health
97,recent,other,health,7,health,health
98,recent,health,health,7,health,health
99,recent,health,health,7,health,health
100,recent,health,other,7,political,political
101,recent,scam,other,7,scam,scam
102,recent,health,other,7,health,health
103,recent,political,other,7,political,political
104,recent,political,other,7,political,political
105,recent,other,other,7,other,other
106,recent,other,other,7,other,other
107,recent,other,other,7,scam,scam
108,recent,other,other,7,other,other
109,recent,scam,other,7,scam,scam
110,recent,other,other,7,political,political
111,recent,scam,other,7,scam,scam
112,recent,scam,other,7,other,other
113,recent,scam,other,7,scam,scam
114,recent,other,other,7,other,other
115,recent,other,other,7,other,other
116,recent,other,other,7,other,other
117,recent,other,other,7,other,other
118,recent,other,other,7,health,health
119,recent,political,other,7,other,other
120,recent,political,other,7,other,other
