cluster_id,label,size,median_latency_h,pct_2020_win,pct_2024_win,label_en
-2,URL-only,11062,18.4,9.8,2.7,URL-only (no text)
0,"色場所喝, ”赴, “翹班”, 場所喝花, 場所喝",175,1100.2,0.0,0.0,(other)
1,"看看這是, 是假的：, 看這是真, 幫我看看, 假的：",89,235.7,3.4,11.2,(other)
2,"香蕉,  香蕉, 蕉，,  香, 香蕉，",201,9.5,12.4,1.0,(other)
3,"德國, 德國人,  德國,  德, +++",88,29.7,12.5,2.3,(other)
4,"酒商, 搶購, 紅酒, 00, 這批",80,1442.9,5.0,0.0,(other)
5,"星巴, 星巴克, 巴克, 咖啡,  星巴",269,4.4,5.6,1.1,Starbucks & coffee
6,"印度,  印度,  印, 疫情, 禽流",99,16.2,8.1,1.0,(other)
7,"同性, 愛滋, 婚姻, 性戀, 同性戀",486,16.3,6.8,0.2,LGBT & marriage equality
8,"電池, 電梯, 充電, 電動, 電動車",120,22.3,0.8,2.5,(other)
9,"。 , 寵物, 病毒, 動物, 自家",95,9.3,15.8,0.0,(other)
10,"地震, 震，, 地震，, 大地震, 大地",249,5.8,1.6,2.0,Earthquakes
11,"農民, 全聯, 高麗, 高麗菜, 麗菜",83,6.2,3.6,1.2,(other)
12,"物資, 。 , 舊衣, 孩子, 幫忙",210,17.1,2.9,3.8,(other)
13,"。 , 00, 機車, 紅燈, 交通",2190,16.1,5.9,1.9,Traffic & road safety
14,".c, com , .co, .com, com",135,11.3,1.5,3.7,(other)
15,"日本, 核廢, 核廢水, 廢水, 福島",221,23.3,4.1,3.6,(other)
16,"毒品, 泰國, 大麻, 罐頭, 。 ",104,23.4,9.6,3.8,(other)
17,"發電, 台電, 電廠, 停電, 電費",523,25.5,5.0,4.2,Taiwan power & blackouts
18,"節電, 電獎, 節電獎, 登錄, 電獎勵",102,2.8,2.0,2.0,(other)
19,"雞蛋, 蛋，, 進口, 巴西, 雞蛋，",307,23.7,1.6,1.0,Egg imports (Brazil)
20,"烏克, 烏克蘭, 克蘭, 俄羅, 俄羅斯",337,64.6,2.7,1.8,Ukraine–Russia war
21,"戴口罩, 戴口, 口罩, 00, 開車",178,1.8,9.0,0.0,(other)
22,"口罩, 罩，, 口罩，, 的口罩, 。 ",358,5.1,57.8,0.3,Face masks
23,"收費, 要收, 圖片, line, ine",84,5.3,7.1,0.0,(other)
24,"://s, //s, //sh, /sho, hop/",85,6.1,1.2,1.2,(other)
25,"aceb, ceb, cebo, 臉書, eboo",198,16.7,4.0,10.1,(other)
26,"眼睛, 視力, 失明, 眼鏡, 。 ",187,22.2,2.1,0.0,(other)
27,"影片, 影片，, tub, tube, utub",170,18.9,8.8,2.4,(other)
28,"牛奶, 喝牛, 喝牛奶, 。 , 激素",116,12.6,1.7,0.9,(other)
29,"牙齒, 牙周, 牙醫, 刷牙, 口腔",113,36.3,2.7,0.9,(other)
30,"調理, 瘦身, 體質, 改善, 方案",225,454.1,1.8,15.1,(other)
31,"瓦斯, 冷氣, 空氣, 。 , 室內",117,18.3,5.1,0.0,(other)
32,"繳納, 00, 稅務, 銀行, 所得",128,41.1,1.6,5.5,(other)
33,"疫苗, 打疫, 打疫苗, 疫苗前, 苗前",86,20.9,0.0,0.0,(other)
34,"。 , ！ , .., 眼鏡, 一隻",248,24.5,4.4,1.2,Eyewear & vision
