c24,size,pct_of_2024_win,median_h,dominant_topic,top_terms,label_en
25,135,7.1,1159.7,scam,"00, 工作, 薪資, 000, 兼職",Job & salary scam
27,113,6.0,637.8,scam,"帳號, 註冊, ———, ————, 工作",Account registration scam
9,98,5.2,62.8,other,"蘇丹, 丹紅, 蘇丹紅, 食品, 香蕉",Sudan-red food contamination
26,96,5.1,1346.2,scam,"帳戶, 外資, 交易, 主力, 市場",Stock-market scam
16,94,5.0,448.6,other,".., 滑 , 滑呀, 滑呀滑,  滑呀",Junk (slide spam)
8,83,4.4,37.6,health,"漿菌, 黴漿菌, 黴漿, 疫苗, 口罩",Mycoplasma outbreak
12,81,4.3,29.0,political,"台灣, 中國, 。 , ==, 台灣人",Taiwan–China identity
18,62,3.3,7.6,political,"投票, 票數, 票，, 的票, 選舉",Election & voting
6,60,3.2,115.8,other,"改善, 瘦身, 方案, ，瘦, 調理",Weight loss & wellness
24,55,2.9,116.8,other,"吃吃, 吃吃吃, 吃吃吃吃, ➖➖, ☟☟",Junk (eating spam)
28,47,2.5,607.6,other,"工作, 秘書, 工作內容, 工作內, 作內容",Secretary job ads
23,38,2.0,43.0,scam,"icke, cker, 貼圖, tick, cke",LINE sticker scam
11,38,2.0,22.4,other,"。 , 清德, 賴清德, 賴清, 兒子",Lai Ching-te (family)
5,38,2.0,32.6,other,"ico, icon, con, 公里, on爲",Junk (icon/url fragments)
21,37,2.0,358.8,scam,"材料, 公司, 實名, 實名登, 實名登記",Real-name registration scam
13,36,1.9,12.2,other,"防部, 國防部, 國防, 空氣, 衛星",Defense ministry & satellites
17,34,1.8,58.7,other,"pass, pas, one, ass, ipas",iPASS transit card
7,33,1.7,18.4,scam,"詐騙, 禮券, 被騙, 詐騙手, 騙手法",Gift voucher scam
15,33,1.7,389.7,scam,"網站, 流量, 點擊, 我們, 團隊",Click-farm scam
4,29,1.5,22.1,other,"退休, 公教, %e, 軍公, 軍公教",Pension (military/civil)
3,28,1.5,11.3,scam,"帳戶,  fa, ok ,  fac, ook ",Facebook account scam
0,27,1.4,19.3,other,"電費, 是平常, 是平, 點是平常, 點是平",Electricity bills
19,27,1.4,18.3,political,"賴清德, 賴清, 清德, .., 定南",Lai Ching-te (campaign)
14,26,1.4,11.7,political,"違建, 清德, 賴清, 賴清德, 礦工",Lai illegal construction
20,25,1.3,16.5,political,"進黨, 民進黨, 民進, 黨團, 文哲",DPP / Ko Wen-je
1,25,1.3,27.5,other,"執法, 科技執, 技執法, 技執, 紅燈",Traffic enforcement cameras
10,24,1.3,6.9,political,"國籍, 美琴, 蕭美琴, 蕭美, 中華民",Hsiao Bi-khim nationality
2,22,1.2,28.8,scam,"00, 敬老, 00點, 0點, 65歲",Senior-citizen scam
29,21,1.1,1262.1,scam,"---, ----, --, ———, ————",Dash-formatted scam ads
22,20,1.1,1131.3,scam," 💡, 貸款, 00, 銀行, 02-7",Loan scam (banks)
