articleId,article_createdAt,articleType,replyId,replyType,reply_createdAt,reply_type,latency_hours,text_preview,year,clean_text,is_url_only,in_2020_win,in_2024_win,cluster_id,umap_x,umap_y,scam_hits,pol_hits,health_hits,topic,window,sub_electoral,sub_candidate,sub_cross_strait,sub_party,sub_defense,sub_theme
5484513418146-rumor,2017-01-11 01:35:00.000000001+00:00,TEXT,AWA2JbH3yCdS-nWhukj7,NOT_ARTICLE,2017-12-08 12:42:08.246000+00:00,NOT_ARTICLE,7955.118957222222,部長今日至南部視導，抽問官兵不了解國防製播《2017和你一起》的元旦短片，請各單位立即通知所屬 利用國防部發言人室臉書收看！據聞今日部長甚為光火，各單位謹慎為之，立即通知！,2017.0,部長今日至南部視導，抽問官兵不了解國防製播《2017和你一起》的元旦短片，請各單位立即通知所屬 利用國防部發言人室臉書收看！據聞今日部長甚為光火，各單位謹慎為之，立即通知！,False,False,False,-1,10.56843090057373,4.984732151031494,0,1,0,political,off,0,0,0,0,1,defense
5484282119964-rumor,2017-01-11 00:05:00+00:00,TEXT,AV0nmGrxyCdS-nWhub4L,NOT_ARTICLE,2017-07-09 13:44:46.575000+00:00,NOT_ARTICLE,4309.6629375,"Subject: Fwd: 何以日本不喊「去中國化」







何以日本不喊「去中國化」 
2017-01-08 03:36聯合報
黎建南∕自由作家（高雄市）

日人宮本是我多年社會觀研工作夥伴，其子太郎欲繼承父志，正就讀
日本大學社會系，他拿作業與我討論，題目讓我大吃一驚：「試以（
古文觀止卷三周文國語）魯國敬姜語其子公父文伯：『夫民勞則思，
思則善心生；逸則淫，淫則忘善，忘善則惡心生。』就",2017.0,"Subject: Fwd: 何以日本不喊「去中國化」







何以日本不喊「去中國化」 
2017-01-08 03:36聯合報
黎建南∕自由作家（高雄市）

日人宮本是我多年社會觀研工作夥伴，其子太郎欲繼承父志，正就讀
日本大學社會系，他拿作業與我討論，題目讓我大吃一驚：「試以（
古文觀止卷三周文國語）魯國敬姜語其子公父文伯：『夫民勞則思，
思則善心生；逸則淫，淫則忘善，忘善則惡心生。』就",False,False,False,88,8.328062057495117,3.826401948928833,0,1,0,political,off,0,0,1,0,0,cross_strait
5484241707912-rumor,2017-01-10 23:47:00.000000002+00:00,TEXT,AV9nIm8FyCdS-nWhuiR5,RUMOR,2017-10-29 07:57:10.788000+00:00,RUMOR,6992.169663333333,"亞太經濟合作會議（APEC）大使宋楚瑜，成功與中國國家主席習近平會談超過10分鐘！（photo by 鄭羿菲/台灣醒報）
亞太經濟合作會議（APEC）大使宋楚瑜，成功與中國國家主席習近平會談超過10分鐘！（photo by 鄭羿菲/台灣醒報）
【台灣醒報記者鄭羿菲綜合報導】APEC代表宋楚瑜成功與中國國家主席習近平會談超過10分鐘！APEC代表團顧問李鴻鈞20日證實，宋、習2人是在會議開始前自然相",2017.0,"亞太經濟合作會議（APEC）大使宋楚瑜，成功與中國國家主席習近平會談超過10分鐘！（photo by 鄭羿菲/台灣醒報）
亞太經濟合作會議（APEC）大使宋楚瑜，成功與中國國家主席習近平會談超過10分鐘！（photo by 鄭羿菲/台灣醒報）
【台灣醒報記者鄭羿菲綜合報導】APEC代表宋楚瑜成功與中國國家主席習近平會談超過10分鐘！APEC代表團顧問李鴻鈞20日證實，宋、習2人是在會議開始前自然相",False,False,False,-1,10.033620834350586,4.410620212554932,0,1,0,political,off,0,0,1,0,0,cross_strait
5482500397552-rumor,2017-01-10 13:08:00.000000002+00:00,TEXT,AV03YsyMyCdS-nWhucKB,NOT_RUMOR,2017-07-12 15:20:08.075000+00:00,NOT_RUMOR,4394.202243055555,"小番茄稱霸全台　張花冠送小英總統品嚐
http://www.appledaily.com.tw/realtimenews/article/new/20161228/1022710/",2017.0,小番茄稱霸全台　張花冠送小英總統品嚐,False,False,False,81,9.943347930908203,-2.085995674133301,0,1,0,political,off,0,0,0,0,0,general
5481688754229-rumor,2017-01-10 10:32:00.000000001+00:00,TEXT,AV5WkNwlyCdS-nWhufp-,OPINIONATED,2017-09-06 09:41:27.715000+00:00,OPINIONATED,5735.157698611111,"吳敦義是全民皆知的，口才伶俐的藍色官員。至於民間流行的「白賊義」別名，應該是政客之間的相互叫罵，是誰贈給他並不重要，重要的是他是不是如封號所指喜歡講「白賊」話。如果是，那為何馬英九還要選擇他當副手，莫非是趣味相投，或是在馬領導下，中國國民黨已經找不到真正的好人才。
大家看得清楚，吳敦義雖然名字裡有個「義」字，他的情義令人懷疑。為了打擊台灣本土派來贏得2012年大選，馬已經啟動司法，起訴敢於倡導「棄",2017.0,"吳敦義是全民皆知的，口才伶俐的藍色官員。至於民間流行的「白賊義」別名，應該是政客之間的相互叫罵，是誰贈給他並不重要，重要的是他是不是如封號所指喜歡講「白賊」話。如果是，那為何馬英九還要選擇他當副手，莫非是趣味相投，或是在馬領導下，中國國民黨已經找不到真正的好人才。
大家看得清楚，吳敦義雖然名字裡有個「義」字，他的情義令人懷疑。為了打擊台灣本土派來贏得2012年大選，馬已經啟動司法，起訴敢於倡導「棄",False,False,False,-1,10.489859580993652,4.736481666564941,0,3,0,political,off,0,1,1,1,0,candidate
5481693131176-rumor,2017-01-10 10:33:00.000000004+00:00,TEXT,AV0sxdktyCdS-nWhub-E,RUMOR,2017-07-10 13:52:29.996000+00:00,RUMOR,4347.324998888888,"請問 林全院長 ：當初 阿扁所立法的 (立委，民代，縣市首長，政務官的退職金請領方式)，不就是國家財政上真正的元凶？不要每次 讓辛苦的勞工 與基層公務人員，家人之間，朋友之間，如此不堪的互相指責！這不是正義！

小英總統 不就是要林院長來追求公平、正義？ 既然已經發現元凶！惡法也是(法)！ 就必須改革！一再吹牛要為23OO萬國人伸張正義追求公平！卻任憑惡法侵蝕國家財政，這是極不負責任的政務首長！請",2017.0,"請問 林全院長 ：當初 阿扁所立法的 (立委，民代，縣市首長，政務官的退職金請領方式)，不就是國家財政上真正的元凶？不要每次 讓辛苦的勞工 與基層公務人員，家人之間，朋友之間，如此不堪的互相指責！這不是正義！

小英總統 不就是要林院長來追求公平、正義？ 既然已經發現元凶！惡法也是(法)！ 就必須改革！一再吹牛要為23OO萬國人伸張正義追求公平！卻任憑惡法侵蝕國家財政，這是極不負責任的政務首長！請",False,False,False,-1,10.22352695465088,5.562525749206543,0,2,0,political,off,0,0,0,0,0,general
5481691106655-rumor,2017-01-10 10:33:00+00:00,TEXT,AV5WkGSjyCdS-nWhufp9,OPINIONATED,2017-09-06 09:40:57.122000+00:00,OPINIONATED,5735.132533888889,吳敦義是全民皆知的，口才伶俐的藍色官員。至於民間流行的「白賊義」別名，應該是政客之間的相互叫罵，是誰贈給他並不重要，重要的是他是不是如封號所指喜歡講「白賊」話。如果是，那為何馬英九還要選擇他當副手，莫非是趣味相投，或是在馬領導下，中國國民黨已經找不到真正的好人才。,2017.0,吳敦義是全民皆知的，口才伶俐的藍色官員。至於民間流行的「白賊義」別名，應該是政客之間的相互叫罵，是誰贈給他並不重要，重要的是他是不是如封號所指喜歡講「白賊」話。如果是，那為何馬英九還要選擇他當副手，莫非是趣味相投，或是在馬領導下，中國國民黨已經找不到真正的好人才。,False,False,False,-1,10.484408378601074,4.822316646575928,0,3,0,political,off,0,1,1,1,0,candidate
5480785554134-rumor,2017-01-10 06:49:00+00:00,TEXT,AV0sw20nyCdS-nWhub-B,RUMOR,2017-07-10 13:49:51.269000+00:00,RUMOR,4351.014241388889,"【陳水扁的《自肥18趴》】﹏民進黨為何隻字不提更厲害、更可怕的《全民皆趴》，你搞清楚了嗎？！

【紙快包不住火】﹏18趴有二種，原生18怕已然絕種，不是年金，後面的《自肥18趴》，才是大問題!!

請問林全院長： 如何才是釜底抽薪 解決當前爭議 永遠為子孫開創未來美景與健全國家財政辦法 ?
民國84年實施新的公務人員退休制度，就設計以溫和漸進的方式讓18%走入歷史，未來一二十年，隨著年齡的增長，舊",2017.0,"【陳水扁的《自肥18趴》】﹏民進黨為何隻字不提更厲害、更可怕的《全民皆趴》，你搞清楚了嗎？！

【紙快包不住火】﹏18趴有二種，原生18怕已然絕種，不是年金，後面的《自肥18趴》，才是大問題!!

請問林全院長： 如何才是釜底抽薪 解決當前爭議 永遠為子孫開創未來美景與健全國家財政辦法 ?
民國84年實施新的公務人員退休制度，就設計以溫和漸進的方式讓18%走入歷史，未來一二十年，隨著年齡的增長，舊",False,False,False,35,4.326179504394531,2.815730333328247,0,1,0,political,off,0,0,0,1,0,party
5480605852511-rumor,2017-01-10 05:57:00.000000003+00:00,TEXT,AV_ylAIjyCdS-nWhujwY,RUMOR,2017-11-25 09:48:27.042000+00:00,RUMOR,7659.857511666666,蔡英文總統於當地時間昨日傍晚抵達尼加拉瓜，晚間並與尼國總統奧蒂嘉夫婦會晤。有隨行台媒指稱雙方元首會談，是「看電視才知道」，外交部回應，尊重對方安排。稍早小英總統也更新臉書動態，表示「整個會面過程，尼國方面安排由多家官方媒體，進行全國聯播」。,2017.0,蔡英文總統於當地時間昨日傍晚抵達尼加拉瓜，晚間並與尼國總統奧蒂嘉夫婦會晤。有隨行台媒指稱雙方元首會談，是「看電視才知道」，外交部回應，尊重對方安排。稍早小英總統也更新臉書動態，表示「整個會面過程，尼國方面安排由多家官方媒體，進行全國聯播」。,False,False,False,-1,10.586583137512209,5.228118896484375,0,2,0,political,off,0,1,0,0,0,candidate
5480246435974-rumor,2017-01-10 04:14:59.999999999+00:00,TEXT,AV064iLhyCdS-nWhucMU,RUMOR,2017-07-13 07:38:04.895000+00:00,RUMOR,4419.3846930555555,中國國民黨文傳會副主委胡文琦今(10)日召開「翁啟惠遭起訴，蔡英文說清楚」記者會，他表示，當初宇昌案時，翁啟惠曾經力挺蔡英文，去年總統大選時，更數度傳出蔡希望找翁啟惠擔任副手，如今翁啟惠遭起訴，蔡英文是否也要控訴「司法不公」力挺老戰友翁啟惠？,2017.0,中國國民黨文傳會副主委胡文琦今(10)日召開「翁啟惠遭起訴，蔡英文說清楚」記者會，他表示，當初宇昌案時，翁啟惠曾經力挺蔡英文，去年總統大選時，更數度傳出蔡希望找翁啟惠擔任副手，如今翁啟惠遭起訴，蔡英文是否也要控訴「司法不公」力挺老戰友翁啟惠？,False,False,False,-1,10.08645248413086,4.77892541885376,0,4,0,political,off,0,1,1,1,0,candidate
